Height,Chest,Waist,Hips,Skin,Eyes,Suit,Shoes,
174,85,63,90,黄色,黑色,40,38,
178,80,61,90,黄色,黑色,35,38,
180,85,64,90,黄色,褐色,42,39,
180,83,60,89,黄色,黑色,42,40,
178,87,60,88,黄色,黑色,42,39,
179,85,58,88,黄色,黑色,41,39,
181,100,80,94,黄色,褐色,,42,
179,86,61,89,黄色,黑色,42,39,
181,81,57,87,黄色,黑色,42,39,
177,83,59,85,黄色,黑色,40,38,
180,85,60,89,黄色,黑色,42,39,
192,99,84,106,黄色,黑色,45,43,
178,89,61,89,黄色,黑色,41,39,
172,84,60,88,黄色,黑色,40,38,
180,81,60,89,黄色,黑色,41,40,
180,95,80,85,黄色,黑色,44,42,
186,103,75,96,黄色,黑色,51,43,
169,85,63,83,黄色,黑色,38,37,
186,98,72,93,黄色,黑色,43,42,
168,80,60,85,黄色,黑色,38,36,
166,85,65,88,黄色,黑色,37,36,
170,84,56,86,黄色,黑色,37,37,
170,85,63,83,黄色,黑色,38,37,
156,84,62,86,黄色,黑色,37,36,
166,78,58,80,黄色,黑色,38,37,
188,100,76,96,黄色,黑色,50,45,
166,85,63,83,黄色,黑色,37,37,
170,85,63,83,黄色,黑色,37,37,
190,104,79,89,黄色,黑色,50,44,
187,100,74,95,黄色,黑色,50,44,
170,86,62,88,黄色,黑色,37,37,
181,85,63,83,黄色,黑色,38,37,
174,85,63,83,黄色,黑色,37,37,
177,84,61,89,黄色,黑色,38,39,
172,86,60,90,黄色,黑色,39,39,
170,85,64,83,黄色,黑色,38,38,
170,87,69,90,白色,深啡,42,38,
166,78,63,88,黄色,黑色,38,36,
177,85,63,83,黄色,黑色,38,37,
178,86,60,88,黄色,黑色,40,38,
172,89,64,88,黄色,黑色,38,38,
170,86,62,89,黄色,黑色,38,37,
175,87,60,89,黄色,黑色,39,38,
165,84,62,88,黄色,黑色,38,36,
163,95,83,93,黄色,黑色,38,38,
187,95,72,92,黄色,黑色,45,42,
166,85,62,85,黄色,黑色,38,39,
177,86,62,90,黄色,黑色,42,38,
166,84,60,88,黄色,黑色,38,38,
167,83,58,85,黄色,黑色,43,36,
165,82,61,84,黄色,黑色,38,36,
187,700,77,95,黄色,黑色,43,43,
178,92,87,96,黄色,黑色,45,42,
180,82,70,86,黄色,黑色,46,43,
175,86,62,90,黄色,黑色,41,37,
182,98,75,96,黄色,黑色,45,42,
180,98,75,97,黄色,黑色,46,42,
175,86,66,90,黄色,黑色,38,39,
177,78,65,76,黄色,黑色,38,38,
164,90,58,90,黄色,黑色,38,38,
165,78,58,82,黄色,黑色,38,38,
178,98,75,98,黄色,黑色,43,42,
187,98,76,95,黄色,黑色,43,44,
188,103,75,95,黄色,黑色,50,44,
189,103,78,98,黄色,黑色,55,44,
187,100,75,95,黄色,黑色,50,44,
176,94,76,94,黄色,黑色,43,41,
185,95,75,95,黄色,黑色,43,43,
179,83,59,89,黄色,黑色,42,39,
173,84,61,89,黄色,黑色,40,46,
178,86,61,89,黄色,黑色,41,39,
177,94,72,92,黄色,深啡,48,42,
178,88,60,89,黄色,黑色,43,39,
169,86,60,86,黄色,黑色,37,37,
176,84,61,88,黄色,黑色,40,38,
181,95,74,96,黄色,黑色,43,42,
184,100,78,98,黄色,黑色,51,43,
187,101,74,95,黄色,黑色,42,43,
179,85,60,89,黄色,黑色,40,39,
168,86,58,87,黄色,黑色,42,38,
185,90,72,91,黄色,黑色,52,43,
180,83,59,89,黄色,黑色,85,39,
182,100,76,98,黄色,黑色,46,43,
170,87,66,85,黄色,黑色,38,39,
170,86,60,86,黄色,黑色,37,37,
175,89,60,90,黄色,黑色,39,39,
168,86,60,86,黄色,黑色,37,37,
170,83,59,87,黄色,黑色,38,38,
186,100,76,94,黄色,黑色,45,43,
167,85,60,86,黄色,黑色,37,36,
165,32,25,33,黄色,黑色,78,36,
169,85,60,88,黄色,黑色,40,36,
165,86,64,88,黄色,黑色,37,37,
175,82,58,85,黄色,黑色,43,37,
172,84,62,89,黄色,黑色,40,37,
164,87,59,86,黄色,棕色,40,36,
176,88,61,89,黄色,黑色,40,39,
188,102,75,95,黄色,黑色,50,43,
185,102,76,96,黄色,黑色,46,43,
110,12,12,12,黄色,黑色,30,30,
183,87,76,93,黄色,棕色,48,41,
166,80,61,86,黄色,黑色,37,36,
170,83,60,88,黄色,黑色,40,38,
178,88,60,89,黄色,黑色,35,38,
167,85,59,87,黄色,黑色,45,35,
179,89,59,88,黄色,黑色,39,37,
170,83,56,85,白色,褐色,42,38,
170,83,61,87,黄色,黑色,42.5,39,
171,84,64,88,黄色,黑色,70,38,
140,60,50,62,黄色,黑色,30,34,
187,100,73,92,黄色,黑色,47,42,
176,84,62,90,黄色,黑色,42,38,
183,100,80,97,黄色,深啡,48,43,
166,84,64,90,黄色,黑色,38,37,
170,75,60,84,黄色,黑色,42,37,
175,85,62,90,黄色,黑色,42,37,
175,84,61,88,黄色,黑色,38,38,
170,87,67,90,黄色,黑色,41,37,
177,82,60,86,黄色,黑色,41,39,
164,84,56,83,黄色,黑色,42,36,
190,102,79,91,黄色,黑色,52,44,
172,88,63,89,黄色,黑色,38,38,
181,84,78,95,黄色,黑色,45,42,
183,93,74,92,黄色,黑色,48,43,
176,85,60,88,黄色,黑色,,37,
172,86,64,88,黄色,黑色,22,37,
179,87,62,90,黄色,黑色,45,39,
184,105,78,96,黄色,黑色,50,43,
170,86,60,90,黄色,黑色,41,39,
186,120,76,96,黄色,黑色,52,43,
186,102,76,96,黄色,黑色,50,43,
174,82,62,90,黄色,黑色,39,38,
165,83,61,86,黄色,黑色,38,37,
174,86,63,90,黄色,黑色,36,38,
170,83,62,88,黄色,黑色,39,37,
183,103,83,97,黄色,褐色,52,42,
174,85,61,88,黄色,黑色,40,38,
173,82,60,88,黄色,黑色,,,
170,33,23,34,黄色,黑色,39,39,
183,98,76,96,黄色,黑色,52,43,
184,98,75,92,黄色,黑色,47,44,
168,85,58,88,黄色,黑色,39,37,
186,102,74,96,黄色,黑色,52,43,
170,82,60,91,黄色,黑色,14,37,
172,84,62,89,黄色,黑色,37,37,
171,83,61,88,黄色,黑色,38,38,
166,88,68,89,黄色,黑色,37,39,
174,85,59,86,黄色,棕色,41,38,
177,84,60,89,黄色,黑色,43,39,
186,100,77,96,黄色,黑色,45,43,
186,100,76,94,黄色,黑色,52,43,
178,86,60,88,黄色,黑色,,39,
181,86,61,88,黄色,黑色,,40,
170,83,62,89,黄色,棕色,39,39,
162,85,58,85,黄色,黑色,39,36,
183,100,76,98,黄色,黑色,46,43,
183,101,79,98,黄色,黑色,50,43,
189,102,79,92,黄色,黑色,52,43,
183,38,30,36,黄色,黑色,,,
183,38,32,37,黄色,褐色,,43,
181,98,74,94,黄色,黑色,,42,
174,40,32,39,黄色,棕色,,,
192,93,77,97,黄色,棕色,,44,
186,101,84,97,黄色,褐色,,,
186,93,75,92,黄色,黑色,,43,
181,97,75,97,黄色,深啡,,43,
183,99,87,98,黄色,深啡,,43,
186,100,85,98,黄色,黑色,,,
172,83,60,87,黄色,黑色,,37,
182,98,76,96,黄色,黑色,50,43,
183,102,78,95,黄色,褐色,,,
186,105,83,105,黄色,深啡,,,
181,97,77,94,黄色,黑色,,,
181,105,82,102,黄色,黑色,,,
189,100,72,97,黄色,黑色,,44,
186,97,79,94,黄色,褐色,,42,
187,98,79,96,黄色,黑色,48,43,
171,83,62,86,黄色,黑色,40,38,
176,85,62,88,黄色,黑色,39,37,
173,84,60,89,黄色,黑色,,39,
181,86,64,89,黄色,黑色,,40,
174,83,60,89,黄色,黑色,,39,
178,83,64,90,黄色,黑色,,39,
189,103,75,96,黄色,黑色,53,43,
179,84,62,90,黄色,黑色,,39,
174,86,63,90,黄色,黑色,42,39,
189,102,72,95,黄色,黑色,50,43,
177,83,60,87,黄色,黑色,41,39,
175,84,62,90,黄色,黑色,,38,
187,100,75,95,黄色,黑色,52,44,
172,79,63,88,黄色,棕色,41,39,
174,89,62,92,黄色,黑色,,38,
174,85,61,87,黄色,棕色,38,39,
183,101,81,99,黄色,黑色,,43,
189,100,70,92,黄色,黑色,,43,
165,25,21,20,黄色,黑色,11,37,
175,84,62,89,黄色,黑色,38,38,
168,82,60,86,黄色,黑色,,36,
176,84,59,84,黄色,黑色,,38,
163,83,61,85,黄色,黑色,42,36,
175,84,60,90,黄色,黑色,40,39,
162,80,60,83,黄色,黑色,38,35,
165,83,60,88,黄色,黑色,36,37,
170,83,60,87,黄色,黑色,38,37,
173,84,62,90,黄色,黑色,,,
174,82,62,88,黄色,黑色,37,37,
168,84,63,89,黄色,黑色,36,37,
164,80,60,85,黄色,黑色,,37,
163,80,58,84,白色,黑色,35,35,
161,84,60,92,黄色,黑色,38,37,
175,82,63,86,黄色,黑色,,,
168,84,60,86,黄色,黑色,,,
185,102,85,100,黄色,黑色,52,43,
171,80,60,88,黄色,黑色,40,38,
166,85,60,86,黄色,黑色,36,35,
160,80,57,85,黄色,黑色,,35,
176,90,70,90,黄色,黑色,46,40,
178,95,75,88,黄色,黑色,,,
165,82,60,89,黄色,黑色,,,
187,105,89,106,黄色,黑色,46,44,
179,96,82,95,黄色,深啡,50,43,
170,80,54,84,白色,褐色,39,37,
174,90,70,90,黄色,黑色,51,41,
183,98,78,96,白色,棕色,50,43,
186,102,75,94,黄色,黑色,53,44,
177,86,66,90,黄色,黑色,,39,
160,84,60,86,黄色,黑色,1,37,
176,91,78,93,黄色,棕色,46,42,
181,85,62,90,黄色,黑色,55,40,
174,83,61,85,黄色,黑色,43,38,
178,84,64,90,黄色,黑色,40,38,
174,84,61,87,黄色,黑色,,37,
186,103,80,105,黄色,黑色,53,44,
186,84,74,94,黄色,黑色,48,44,
186,104,77,98,黄色,黑色,52,43,
181,98,78,92,黄色,棕色,50,42,
186,96,73,89,黄色,黑色,52,45,
173,85,64,90,黄色,黑色,,,
183,97,75,95,黄色,黑色,46,44,
186,93,78,95,黄色,黑色,48,43,
177,90,71,90,黄色,黑色,37,43,
170,81,64,88,黄色,黑色,,38,
160,81,63,84,黄色,黑色,,37,
167,78,59,86,黄色,黑色,,37,
174,83,62,86,黄色,黑色,,38,
181,78,60,90,黄色,黑色,42,40,
178,83,62,89,黄色,黑色,,39,
173,84,61,87,黄色,棕色,,39,
174,86,61,88,黄色,黑色,,39,
170,84,61,86,黄色,棕色,,38,
174,86,64,89,黄色,黑色,38,36,
170,84,61,86,黄色,棕色,40,36,
178,82,61,84,黄色,黑色,38,38,
165,86,59,84,黄色,蓝色,,,
170,84,61,86,黄色,黑色,,37,
174,84,61,89,黄色,棕色,38,38,
167,84,60,87,黄色,黑色,,38,
173,84,61,86,黄色,棕色,38,38,
174,85,62,90,黄色,黑色,,39,
174,81,61,86,黄色,黑色,38,40,
170,84,61,89,黄色,棕色,,,
162,81,57,84,黄色,棕色,,36,
173,81,61,86,黄色,棕色,,37,
183,99,79,96,黄色,黑色,,43,
165,83,61,86,黄色,棕色,,36,
173,84,63,88,黄色,棕色,,39,
170,82,59,84,黄色,棕色,,37,
173,82,59,86,黄色,棕色,,38,
174,79,59,86,黄色,棕色,,39,
178,84,64,91,黄色,棕色,,40,
173,82,64,87,黄色,棕色,,38,
174,82,59,90,黄色,黑色,,39,
162,84,61,85,黄色,黑色,,37,
170,82,62,85,黄色,棕色,,38,
170,82,64,89,黄色,棕色,,36,
170,84,61,89,黄色,棕色,,37,
173,82,63,89,黄色,棕色,,39,
173,82,59,84,黄色,棕色,,37,
174,82,61,86,黄色,棕色,,39,
170,82,63,89,黄色,棕色,,,
183,92,77,90,黄色,黑色,45,43,
186,97,79,95,白色,黑色,45,43,
174,82,59,90,黄色,黑色,,,
174,81,59,87,黄色,黑色,,,
174,82,62,88,黄色,棕色,,,
186,94,74,94,黄色,黑色,45,43,
178,92,77,93,黄色,黑色,45,43,
170,81,58,83,黄色,棕色,,,
178,80,62,89,黄色,淺啡,,,
170,81,61,89,黄色,棕色,,39,
170,83,63,86,黄色,黑色,,38,
167,78,58,85,黄色,棕色,,24,
170,84,64,87,黄色,棕色,,40,
173,89,65,89,黄色,淺啡,,41,
174,85,64,93,黄色,棕色,,,
183,99,81,96,黄色,棕色,45,43,
183,91,76,91,黄色,褐色,45,43,
160,80,59,86,黄色,褐色,,,
178,84,61,88,黄色,棕色,,40,
170,81,60,86,黄色,黑色,,38,
174,85,58,90,黄色,黑色,,39,
174,80,60,83,黄色,黑色,41,40,
170,81,61,84,黄色,黑色,,,
183,89,76,91,黄色,深啡,46,44,
186,95,75,100,黄色,黑色,43,43,
186,96,78,94,黄色,黑色,54,44,
174,83,63,85,黄色,褐色,40,39,
189,98,81,96,黄色,黑色,52,45,
181,97,75,97,黄色,黑色,48,43,
174,82,59,87,黄色,黑色,,,
174,86,63,89,黄色,黑色,42,37,
186,96,77,96,黄色,黑色,44,43,
183,96,76,94,黄色,黑色,51,43,
174,83,60,88,黄色,棕色,,,
174,81,60,88,黄色,黑色,,,
183,94,73,94,黄色,黑色,51,43,
181,98,76,94,黄色,深啡,51,43,
186,100,78,99,黄色,黑色,51,43,
183,96,76,91,黄色,黑色,51,43,
174,81,63,88,黄色,黑色,,,
170,83,60,86,黄色,黑色,,38,
167,81,60,86,黄色,黑色,,39,
170,81,61,89,黄色,黑色,,,
178,83,61,89,黄色,黑色,,,
160,81,61,83,黄色,黑色,,,
173,81,58,86,黄色,黑色,,,
174,83,63,88,黄色,黑色,,,
183,104,84,99,黄色,深啡,51,43,
181,82,64,89,黄色,深啡,,,
173,84,60,87,黄色,黑色,40,38,
175,90,76,90,黄色,黑色,,42,
170,83,64,92,黄色,黑色,,39,
170,86,61,87,黄色,黑色,,36,
181,84,61,92,黄色,黑色,,40,
167,82,59,86,黄色,深啡,,,
174,84,64,89,黄色,深啡,,38,
174,84,63,89,黄色,深啡,,,
183,96,76,94,黄色,棕色,46,44,
170,80,59,85,黄色,棕色,,,
165,84,62,90,黄色,深啡,,,
178,84,62,89,黄色,深啡,,,
174,84,59,87,黄色,棕色,,,
178,84,64,89,黄色,棕色,,,
189,97,94,111,黄色,棕色,47,43,
170,81,61,86,黄色,棕色,,,
