Page,Row,Line,NO.,Category,Level,City,Height,Chest,Waist,Hips,Suit,Shoes,Skin,Eyes,Hair,advertisement,popularity
63,4,3,N1412144,网拍模特,3,杭州,184,100,80,99,0,43,黄色,黑色,短发,,0
63,4,4,B212288,广告模特,3,广州,178,93,75,92,46,42,黄色,黑色,短发,中国移动,0
63,5,1,A112248,时装模特,3,北京,174,84,60,88,43,39,黄色,黑色,長发,,0
63,5,2,A112262,时装模特,3,北京,178,86,65,91,39,39,黄色,黑色,長发,,0
63,5,3,F612319,人体模特,3,北京,168,80,60,80,1.6,37,黄色,黑色,短发,,0
63,5,4,A112327,时装模特,3,深圳,187,100,78,96,0,44,黄色,黑色,短发,,0
64,1,1,B212329,广告模特,3,广州,185,99,75,96,0,44,黄色,黑色,短发,,0
64,1,2,A112165,时装模特,3,成都,176,88,60,90,0,38,黄色,黑色,長发,,0
64,1,3,C312167,内衣模特,3,深圳,165,90,68,90,0,37,黄色,黑色,長发,,0
64,1,4,B212169,广告模特,3,长春,175,85,65,90,0,39,黄色,黑色,長发,,0
64,2,1,D412170,礼仪模特,3,长春,174,85,67,90,0,37,黄色,黑色,長发,,0
64,2,2,C312171,内衣模特,3,深圳,170,86,60,86,0,37,黄色,黑色,長发,,0
64,2,3,B212172,广告模特,3,北京,175,64,60,88,0,37,黄色,黑色,長发,POCO摄影模特 蜂鸟外拍模特 婚纱摄影模特 珠宝展示模特 摄影化妆模特 淘宝拍摄模特 奥林帕斯数码相机代言 佳能相机代言 《柔性天堂》摄影网腿模 《裸妆》杂志模特 《伊美尔》杂志模特 人民邮电出版社杂志模特 萨伦酸奶冰淇淋广告 太子乐奶粉广告 Costa coffee 广告 2010北京车展别克展台 2010上海世博会 新日世博宝贝,0
64,2,4,N1412070,网拍模特,3,深圳,168,84,62,86,35,36,黄色,黑色,長发,,0
64,3,1,B212053,广告模特,3,北京,168,82,60,88,0,36,白色,黑色,長发,,0
64,3,2,G712043,影视模特,3,北京,170,84,62,90,0,38,黄色,黑色,長发,情感节目：中国教育电视台一频道《成长不烦恼》北京国安特期嘉宾 MTV：第七届中国花卉博览会主题曲《彩色的梦》 广告：《大众购物》商品展示模特 《优购物》商品展示模特 《央视购物》商品展示模特 《家有购物》商品展示模特 《跟我看》商品展示模特 北京电视台《关爱女性》宣传片 北京新东城宣传片 知味来炒菜机 Wally silver 饰品 蔓秀莱施活性胶原蛋白胶囊 嘴工厂台湾美食车 欢乐雪冰淇淋新希望酸奶 鄂尔多斯品牌服装 CAMEL（骆驼牌）女款冲锋衣 步步高复读机 A-BIKE折叠便携自行车 哈哪卓姿女包 伯爵特级淡味橄榄油 威力全自动洗衣机 福牌即食阿胶固元膏 李宁羽绒服 艾美特欧式快热电暖炉 苏伯即食汤 修正左旋肉碱泡腾片 斯高特真空收纳 老工匠羊毛被 老工匠生态短毛绒被 洁丽雅生活毛巾等 平面广告：为杂志，淘宝，婚纱拍过！,0
